family,split_type,split_seed,optimizer_seed,accuracy,balanced_accuracy,f1,roc_auc,cross_entropy,brier_score,ece,fixed_threshold_ba,validation_selected_threshold,validation_selected_test_ba,threshold_shift,recalibrated_ba,mean_score_class_0,mean_score_class_1,score_separation,optimizer_success,scipy_optimizer_success,optimizer_message,termination_reason,n_function_evaluations,maxiter_budget,initial_train_loss,best_train_loss,final_train_loss,validation_loss,loss_improvement,last_10_eval_improvement,evaluation_limit_reached,convergence_plateau_detected,training_time
tfim,iid,131,500,0.9090909090909091,0.9090909090909092,0.9166666666666666,1.0,0.4557117364043005,0.13774902423537408,0.28597975983627305,0.9090909090909092,0.55,0.9545454545454546,0.050000000000000044,0.8636363636363636,0.33793793279166895,0.6197442052020159,0.28180627241034695,False,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,Return from COBYLA because the objective function has been evaluated MAXFUN times.,150,150,0.6777936446271046,0.48044743514020305,0.48176637399031425,0.4901648543966407,0.19602727063679032,0.0006153722154343955,True,False,42.59735190000356
tfim,iid,151,100,1.0,1.0,1.0,1.0,0.4810083515511643,0.14974748477198088,0.3754747388261907,1.0,0.53,1.0,0.030000000000000027,0.8181818181818181,0.32405981682629204,0.5731103391739105,0.24905052234761849,False,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,Return from COBYLA because the objective function has been evaluated MAXFUN times.,150,150,0.6567737197105477,0.4923286447698535,0.49238918771266765,0.5190626478525714,0.16438453199788,0.0004034229932367017,True,False,42.94596469999669
tfim,iid,151,200,0.9545454545454546,0.9545454545454546,0.9565217391304348,1.0,0.43123119016435413,0.12852676206721705,0.3054073042715776,0.9545454545454546,0.5700000000000001,1.0,0.07000000000000006,0.8636363636363636,0.30823016896907657,0.6237825985224655,0.31555242955338897,False,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,Return from COBYLA because the objective function has been evaluated MAXFUN times.,300,300,0.785320457670195,0.44555514758701986,0.44555514758701986,0.4765958501796986,0.3397653100831751,0.000505216691863819,True,False,87.71115739999368
tfim,iid,151,300,0.9545454545454546,0.9545454545454546,0.9565217391304348,1.0,0.4587567832529748,0.1412930069792708,0.3131017937702459,0.9545454545454546,0.55,1.0,0.050000000000000044,0.8181818181818181,0.30883343397311774,0.5898150297757685,0.28098159580265075,False,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,Return from COBYLA because the objective function has been evaluated MAXFUN times.,300,300,0.7096138043850285,0.4714138993505943,0.4714138993505943,0.5022803925594393,0.23819990503443422,0.0003063427803642882,True,False,87.51964210000006
tfim,iid,151,400,0.9545454545454546,0.9545454545454546,0.9565217391304348,1.0,0.4542612230642675,0.14017800247554563,0.3096960503777807,0.9545454545454546,0.54,1.0,0.040000000000000036,0.8181818181818181,0.29713051538906204,0.585755063376933,0.2886245479878709,False,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,Return from COBYLA because the objective function has been evaluated MAXFUN times.,300,300,0.7395679785465143,0.46712542900536613,0.46712542900536613,0.49906917766613373,0.2724425495411482,0.0020002556268116645,True,False,86.4562758999964
tfim,iid,151,500,1.0,1.0,1.0,1.0,0.47786210157252923,0.14926036272050736,0.372374861084988,1.0,0.53,1.0,0.030000000000000027,0.7727272727272727,0.3191300249406601,0.5743803027706841,0.25525027783002396,False,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,Return from COBYLA because the objective function has been evaluated MAXFUN times.,150,150,0.6772402469894453,0.49042328882288727,0.4904987890949152,0.5203523855028754,0.18674145789453012,0.0006788932509865786,True,False,43.66107980000379
tfim,iid,181,100,0.9090909090909091,0.9090909090909092,0.9166666666666666,1.0,0.5284913834096222,0.17152584561188725,0.3119472610302418,0.9090909090909092,0.51,0.9545454545454546,0.010000000000000009,0.7272727272727273,0.3731171113245082,0.5633894076762825,0.19027229635177434,False,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,Return from COBYLA because the objective function has been evaluated MAXFUN times.,300,300,0.6564910374650011,0.485540259887726,0.485540259887726,0.47153831661190326,0.17095077757727517,0.00017230214888569462,True,False,86.92370140000276
tfim,iid,181,200,0.9545454545454546,0.9545454545454546,0.9565217391304348,1.0,0.5222873918920191,0.16976283837833037,0.35288427173100845,0.9545454545454546,0.51,0.9545454545454546,0.010000000000000009,0.7272727272727273,0.35505676271247516,0.5557265477537302,0.20066978504125504,False,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,Return from COBYLA because the objective function has been evaluated MAXFUN times.,300,300,0.7858966235407684,0.47697955984363916,0.47697955984363916,0.4627763453309209,0.30891706369712923,0.0007599512376538775,True,False,88.23406249999971
tfim,iid,181,300,0.9090909090909091,0.9090909090909092,0.9166666666666666,1.0,0.5065950559924027,0.16230237363361172,0.29133515146070627,0.9090909090909092,0.54,0.9545454545454546,0.040000000000000036,0.7727272727272727,0.37486043490753745,0.5951419537314592,0.22028151882392172,False,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,Return from COBYLA because the objective function has been evaluated MAXFUN times.,300,300,0.7097179044202011,0.4551135268448542,0.4551135268448542,0.4356383944093678,0.25460437757534693,0.0009824772310751961,True,False,87.42754860000423
tfim,iid,181,400,0.9090909090909091,0.9090909090909092,0.9166666666666666,1.0,0.4979444544614054,0.15863888611519406,0.28891126790658844,0.9090909090909092,0.53,0.9545454545454546,0.030000000000000027,0.7727272727272727,0.35608643405132645,0.5870998321201294,0.23101339806880294,False,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,Return from COBYLA because the objective function has been evaluated MAXFUN times.,300,300,0.7397008678357194,0.4467282055887644,0.4467282055887644,0.4291740611117352,0.292972662246955,0.0005638233207211907,True,False,84.8636733999956
