family,split_type,bin,accuracy,confidence,count
tfim,critical_holdout,8,,0.8500000000000001,0
tfim,critical_holdout,9,,0.95,0
tfim,critical_holdout,0,,0.05,0
tfim,critical_holdout,1,,0.15000000000000002,0
tfim,critical_holdout,2,,0.25,0
tfim,critical_holdout,3,,0.35000000000000003,0
tfim,critical_holdout,4,0.0,0.4730734137904532,7
tfim,critical_holdout,5,0.7,0.5443453715246804,20
tfim,critical_holdout,6,,0.6500000000000001,0
tfim,critical_holdout,7,,0.75,0
tfim,critical_holdout,8,,0.8500000000000001,0
tfim,critical_holdout,9,,0.95,0
tfim,critical_holdout,0,,0.05,0
tfim,critical_holdout,1,,0.15000000000000002,0
tfim,critical_holdout,2,,0.25,0
tfim,critical_holdout,3,,0.35000000000000003,0
tfim,critical_holdout,4,0.0,0.48156340151928445,5
tfim,critical_holdout,5,0.6363636363636364,0.5537850938701891,22
tfim,critical_holdout,6,,0.6500000000000001,0
tfim,critical_holdout,7,,0.75,0
tfim,critical_holdout,8,,0.8500000000000001,0
tfim,critical_holdout,9,,0.95,0
tfim,critical_holdout,0,,0.05,0
tfim,critical_holdout,1,,0.15000000000000002,0
tfim,critical_holdout,2,,0.25,0
tfim,critical_holdout,3,,0.35000000000000003,0
tfim,critical_holdout,4,0.0,0.47408204512632296,8
